,sentimentValue,article
711,-1.0,by ceylan yeginsujan
712,-1.0,istanbul turkey issu a statement on friday say that comment by presid recep tayyip erdogan in which he cite hitler in respons to a question about whether a strong presid wa possibl in turkey had been misinterpret . mr. erdogan who is push to imbu the larg ceremoni presid with sweep execut power told report late thursday that cthere are alreadi exampl in the world.d cyou can see it when you look at hitler germani d he said . mr. erdogan did not elabor but hi comparison to hitler drew immedi critic becaus of what mani view as hi increas authoritarian
713,-1.0,hi comment also rais the question of whi the leader of one of the world most influenti countri an american alli and member of nato would mention hitler in the context of hi own tenur . on friday the offic of the presid said cerdogan hitl
714,-1.0,your money by ron lieber jan
715,-1.0,mayb you keep a budget
716,-1.0,if you do perhap you have entri for travel or even specif entri for your hobbi . but even if you are not track everi dollar and are lucki enough to have money left over beyond your basic need it is worth rethink your leisure-tim spend
717,-1.0,what were realli talk about here is the overarch categori of play and chanc are your not think enough about what activ make you most happi . so by all mean play more in but be smarter about how you plan for it and what you spend
718,-1.0,you just may find yourself have more fun and spend less money as a result . thi strategi of put financi plan through the prism of play come from a financi planner in new orlean name jude boudreaux
719,1.0,while he and hi famili are quit deliber about play live right on top of one of the main mardi gra parad rout he did not come by hi
720,-1.0,by ashley parkerjan
721,-1.0,hialeah fla. jeb bush and hi support still have a pile of money to spend remnant of $ million rais when he seem earli last year to be a sure bet
722,-1.0,they have an expans ground oper in new hampshir
723,-1.0,and alli have just begun a new ad campaign in iowa . but noth they have tri so far ha lift mr. bush terribl poll number
724,-1.0,and with just four week remain until vote begin mr. bush need to do someth to save hi candidaci . it may be too late : other campaign appear to have count him out altogeth
725,-1.0,but in extens interview over the past week aid to mr. bush and import alli describ a long-shot plan to pull off what seem all but imposs : win the republican nomin for presid
726,-1.0,the plan ha six element : stay on the attack in late mr. bush call donald j. trump ca jerk d cunhingedd and a cchao candidate.d expect more of the
727,-1.0,by jon parelesjan
728,-1.0,natali cole a buoyantli jazzi singer who becam a million-sel grammi award-win pop hitmak with her debut album and went on to even greater popular when she follow the exampl of her father nat king cole in interpret pre-rock pop standard die on thursday in lo angel
729,-1.0,she wa . the caus wa congo health issu d her famili said
730,-1.0,ms. cole had undergon a kidney transplant in and had suffer from other ailment recent forc the cancel of tour date in novemb and decemb . ms. cole had a light suppl perpetu optimist voic full of syncop turn and airborn swoop draw on both the nuanc of jazz sing and the dynam of gospel
731,-1.0,it brought her million-sel album in the s s and s as she move from the sound of her own gener to that of her parent . cthe biggest similar between ms. cole and her father are in attitud
732,0.0,instead o
733,-1.0,by richard sandomirjan
734,-1.0,viewership for thursday two colleg footbal playoff semifin game wa down drastic when compar with last season a clear indic that espn paid a price for the game move to new year eve . espn had hope to turn new year eve into a new sport holiday to showcas the semifin game much as thanksgiv ha becom for the n.f.l
735,0.0,and christma day for the n.b.a
736,-1.0,the network aggress market the advent of the semifin in a promot campaign but the effort appar did not succeed . the disappoint rate for the orang and cotton bowl each of which turn into blowout in the second half suggest that the semifin are better off on new year day as they were last year
737,-1.0,more peopl watch televis on new year day than a day earlier when mani are work or celebr
738,-1.0,still seven of the next year semifin game are schedul for new year\
739,-1.0,by tom spoustajan
740,-1.0,dalla with an explos offens and aspir for the n.h.l
741,-1.0,playoff the dalla star conven for train camp understand that the dirti work of defens need to be address . a tone wa set at the first practic when coach lindi ruff did not allow hi team to scrimmag instead demand a focu on drill and techniqu to lower the star goals-allow averag from . per game the previou season . cwe were look at the first game to make sure we got the team go in the right direct d ruff said
742,-1.0,cthe pivot point for us wa the start of the season.d the talent-laden star won eight of their first game but did not stop there
743,-1.0,they bolt to a -- record and an n.h.l.-lead point as they begin with three game in four day against the devil the island and the ranger begin saturday in newark . it is the best start in franchis histori and
744,-1.0,by emmari huetteman and gardin harrisjan
745,-1.0,washington presid obama will meet with attorney gener loretta e. lynch on monday to discuss what he can do to curb gun violenc sidestep an entrench congress . in hi first weekli radio address of the new year on friday mr. obama said he would talk to ms. lynch after a monthslong examin of the measur he can take on hi own to halt what he call cour epidem of gun violence.d recal the school shoot in newtown conn. that kill peopl of them children and left mani grimli hope it would lead to an overhaul of the nation gun law the presid accus lawmak of bow to the gun lobbi and block necessari chang . call across america survivor of gun violenc and those who lost a child a parent a spous to gun violenc are forc to mark such aw anniversari everi singl day d mr. obama said
746,0.0,cand yet congr
747,-1.0,by victor matherjan
748,-1.0,the super bowl
749,0.0,the world seri
750,0.0,the final four
751,-1.0,big event that determin championship tend to have short memor name . then there is the colleg footbal playoff nation championship . it doesnt exactli sing . cit my dream to one day play in the colleg footbal playoff nation championship.d cif we keep thi up well get to play in the colleg footbal playoff nation championship.d cid love to land colleg footbal playoff nation championship tickets.d clemson coach dabo swinney just may have solv the awkward phraseolog with a singl exuber outburst on thursday night
752,-1.0,after hi team beat oklahoma - in a semifin he happili told a wait microphon : call i know is were go to the natti ! d clemson is go to the natti pic.twitter.com/tilbtgqf ( swinney know all about cnattys.d as wide receiv at alabama h
753,-1.0,by ron nixonjan
754,-1.0,washington the question from the congressman to the obama administr offici wa straightforward enough : how mani foreign visitor overstay their visa everi year ? the repli wa simpl too but not in a satisfi way
755,-1.0,cwe dont know d the offici said . the testi exchang dure a recent congression hear between repres mark meadow republican of north carolina and alan bersin the assist secretari for intern affair at the depart of homeland secur highlight what some law enforc offici call a critic weak in the unit state foreign visa program . the issu ha taken on ad urgenc as part of a broader examin of immigr polici follow the mass shoot in san bernardino calif. that left peopl dead and wound
756,-1.0,tashfeen malik one of the attack wa grant entri to the unit state under a k- visa also known as a fianc\x visa
757,0.0,her husb
758,-1.0,by diaa hadidjan
759,-1.0,tel aviv a gunman whom rel identifi as an arab citizen of israel open fire in the center of tel aviv on friday kill two isra jew at a crowd bar and wound at least five other
760,-1.0,the assault creat mayhem along a busi street and led to an intens manhunt by the author
761,-1.0,the suspect wa still at larg late friday . the assault wa carri out in broad daylight on dizengoff street one of the citi main commerci arteri and it immedi rais fear of a new type of violenc in an alreadi volatil atmospher . the attack took place against the backdrop of a recent wave of assault mostli carri out by palestinian from the west bank or east jerusalem use knive car and in a few case gun
762,-1.0,in footag from secur camera the gunman wa seen step out of a health food store calmli aim and shoot along the street with some kind of submachin gun . but the author were cautiou a
763,-1.0,by alan blinderjan
764,-1.0,atlanta the streetcar wa stop in downtown traffic and befor long keisha schwarzel figur that wa enough of a first experi with the year-old addit to atlanta transit system . cid rather walk d ms. schwarzel said on a rain-drench wednesday morn . and that wa when the ride wa free . on friday look beyond the setback that becam grist for the mass-transit skeptic who popul the suburb atlanta .-mile $ million streetcar system began charg passeng for the first time
765,-1.0,in thi citi of congest and deepen ambit for public transport the debut of fare $ per ride or $ for a one-day pass wa expect to renew battl line in the debat over how the metro area . million peopl should move . ci think will be veri reveal and it will give us a veri good indic of how the streetcar will be in the futur d said
766,-1.0,the saturday profil by jane perlez jan
767,-1.0,chongq china zhang xiaotao one of china lead anim artist grew up in a villag in western china where the feroc of the cultur revolut left indel mark on everyon
768,-1.0,hi father a leader of the local red guard emerg with hi spirit broken by what he saw and did . but that is not what mr. zhang rememb from hi childhood
769,-1.0,instead of the violenc he recal the impos cathol church near hi home mile north of here built by french missionari at the turn of the th centuri
770,-1.0,it broad veranda and colonnad encrust with moss in the clammi summer month remain after the violenc and tall stand of bamboo provid swath of shade . mr. zhang rememb the church so vividli becaus he would play on the ground there
771,-1.0,and by the time he wa when hi parent had abandon him to find work far away it had becom a place of d
772,-1.0,by matt wolfjan
773,-1.0,london you dont necessarili imagin that play date back to the origin of playwrit are go to have a lot to say to us now much less in suffici quantiti to justifi a prolong re-emerg across the year
774,-1.0,but it imposs to reflect on the london theater in without give contemporari pride of place to the ancient . in product after product whether in a comprehens season of time-honor tragedi at the almeida theater in north london or in a tini playhous in west london ( the gate ) that offer up a cmedead with a mighti differ these saga of slaughter retribut and reveng rang out with extraordinari vigor
775,-1.0,it wa possibl in fact for the more dilig mind to see three separ approach to aeschylu coresteiad in quick success ( though the third would have requir a trip to the northern citi of manchest
776,-1.0,) in london the surpris commerci gamb
777,-1.0,by emma g. fitzsimmonsjan
778,-1.0,despit a seri of seriou crash in recent month traffic death fell in new york for the second year in a row as the citi continu to focu on improv street safeti . the number of peopl who die in traffic accid fell to last year from in accord to preliminari data from the citi
779,-1.0,pedestrian death which account for the largest share of the fatal drop slightli last year after reach a histor low in . even though such death declin citi offici and traffic-safeti group agre that more aggress step must be taken to reach mayor bill de blasio goal of elimin traffic death in the citi by as part of a plan call vision zero that he announc nearli two year ago . mr. de blasio said he wa encourag by the year-end figur and pledg that the citi would strengthen it effort to make further progress . cwe are move in the right directio
780,-1.0,by anita gatesdec
781,-1.0,wayn roger the affabl actor who star as trapper john in the hit televis seri cm*a*s*hd in the s die on thursday in lo angel
782,-1.0,he wa . the caus wa complic of pneumonia rona menash hi publicist told the associ press . dr. john mcintyr known as trapper john wa an irrever korean war-era armi surgeon who between life-or-death medic emerg in a mobil medic unit like to relax with martini wisecrack and hi best friend and fellow surgeon hawkey pierc play by alan alda . year later mr. roger and mr. alda charact were name favorit televis comedi duo in a tv guid poll ; mr. roger appear in the seri for onli three season from to . he left becaus of a contract disput which wa wide believ to be connect to the grow domin of mr. alda charact
783,-1.0,mr. roger wa replac by mike farrel as a new sidekick capt
784,0.0,b. j. hunni
785,-1.0,by hala droubijan
786,-1.0,dubai unit arab emir firefight in dubai work friday morn to extinguish the remnant of a blaze that consum a -stori luxuri hotel on new year eve a few hundr yard from the world tallest build the burj khalifa . as of : a.m. accord to a govern statement firefight were still ccool downd the skyscrap as plume of smoke continu to billow from the lower portion of the tower more than hour after the fire broke out . a -stori luxuri hotel in dubai caught on fire thursday even interrupt new year eve celebr
787,-1.0,at least peopl were injur in the blaze and one person had a heart attack
788,-1.0,no death were report . the caus of the fire remain unclear although col. saif al-mazrouei the director of dubai traffic depart told the nation an english-languag newspap base in the emir of abu dhabi
789,-1.0,contribut op- writer by kamel daoudjan
790,-1.0,oran algeria it might have been an occas for collector of omen to rejoic : for the first time in nearli five centuri in the prophet muhammad birthday coincid with jesu birthday
791,0.0,a caus for hope ?
792,-1.0,too littl it turn out . throughout the muslim world a harsh campaign wa conduct against peopl who celebr christma
793,-1.0,in algeria islamist work the street under the regim toler eye distribut leaflet denounc the day as unholi discourag custom in pastri shop from buy yule log and cake and sermon in mosqu
794,-1.0,in brunei and somalia celebr christma could lead to imprison . the islamist argument came down to one essenti point : to celebr christma or new year wa to imit the ckuffar d or atheist which is to say basic western
795,0.0,at all co
796,-1.0,contribut op- writer kamel daoudjan
797,-1.0,oran alg\xeri loccas aurait pu fair le bonheur de collectionneur de pr\xesag : pour la premi\xer foi depui presqu cinq si\xecl lanniversair de la naissanc du proph\xet mahomet et lanniversair de la naissanc de j\xesu ont co\xefncid\x en . de quoi inspir de lespoir ?
798,-1.0,si peu en fait . une rude campagn a \xet\x men\xe contr ceux qui f\xeatent no\xebl dan le mond musulman
799,-1.0,en alg\xeri sou lil tol\xer du r\xegim le islamist ont travaill\x la rue \xe bras-le-corp distribu de d\xepliant d\xenon\x cett f\xeat comm impi sensibilis la client\xel dan le p\xetisseri contr la vent de b\xfbche et g\xeteaux pr\xeachant dan le mosqu\xe
800,-1.0,au brunei et en somali f\xeater no\xebl \xetait passibl de prison . largumentair de islamist se r\xedui
801,-1.0,am\xerica por vicki abelesfeb
802,-1.0,stuart slavin pediatra y catedr\xetico de la facultad de medicina de la universidad de saint loui missouri sabe algo sobr el impacto del estr\x
803,-1.0,despu\x de descubrir \xedndic de ansiedad y depresi\xfn alarmant entr su estudiant de medicina slavin y su colega redise\xfaron el programa de estudio : cambiaron el sistema de calificaci\xfn incluyeron medio d\xeda libr cada do semana y crearon grupo de aprendizaj m\xe peque\xfo para fortalec lo v\xednculo entr lo estudiant
804,-1.0,en un lapso de sei a\xfo lo \xedndic de depresi\xfn y ansiedad disminuyeron de forma consider . pero ni slavin estaba preparado para lo resultado en la irvington high school en fremont california que si una vez fue ciudad de clase trabajadora cada vez m\xe forma part de la \xfrbita de silicon valley
805,-1.0,slavin hab\xeda encuestado de manera an\xf
806,-1.0,am\xerica por roberto surojan
807,-1.0,la demograf\xeda es destino o al meno eso dice el proverbio
808,-1.0,sin embargo en esta \xepoca de eleccion lo latino han aprendido que el destino pued incluir desv\xedo . a medida que el n\xfamero de latino en lo estado unido aumenta ( se dispar\xf de millon en el a\xfo a casi millon ) se han vuelto protagonista de una historia pol\xedtica que inspira felicidad y proyecta el brillo del triunfalismo democr\xetico en una minor\xeda marginada . al actuar como una fuerza pol\xedtica cohesiva se supon\xeda que lo latino empoderar\xedan a la mayor\xeda democr\xetica para consagrar la pol\xedtica de inmigraci\xfn que apoyan con tanto fervor . sin embargo la campa\xfa de demuestra de manera muy viscer c\xfmo la paranoia de la mayor\xeda pued afectar a lo que ganan terreno
809,-1.0,m\xe que un momento de triunfo \xest podr\xeda ser e
810,-1.0,by javier c. hern\xcndezdec
811,-1.0,beij he woke to the cri of the morn janitor
812,0.0,cput your shoe on ! d she said
813,0.0,cput your shoe on ! d she rattl a chair
814,-1.0,cthi isnt your hous !
815,0.0,sit up ! d ding xinfeng eye blink open
816,-1.0,dawn had yet to break but insid a -hour mcdonald restaur in central beij more than a dozen homeless peopl had begun their daili routin . mr. ding lift hi head reveal a mess of food stain and decor slogan on the tabl in front of him
817,-1.0,cwake up everi morn with the thought that someth wonder is about to happen d one read . mr. ding could not read the english but he said he like the warmth of thi tabl in thi corner in the peac of mcdonald the place he had call home for sever year . everi night across east asia in major citi like beij hong kong and tokyo an invis class of peopl shut out of s
818,-1.0,by the new york timesjan
819,-1.0,minh uong piec last month recal hi flight from vietnam in the wake of the fall of saigon and hi return home over the summer inspir a wave of respons from reader includ those who serv there other who also escap and still other who were simpli move
820,-1.0,here are edit excerpt from a few of the comment onlin . i wa one of the american soldier who serv in vietnam
821,-1.0,i wa in the infantri and wa station in northern i corp near the dmz
822,-1.0,i rememb travel the countrysid mani time look at the architectur or what wa left of it think how beauti the countri must have been befor the war had begun
823,-1.0,i often thought that i would like to visit it now return to those veri place that we had patrol and possibl becam involv in firefight and see the countri for what it realli wa and could be again
824,0.0,when the north invad the south i recal feel despair and disgust
825,0.0,despair ove
826,-1.0,bite by john searlesjan
827,-1.0,plenti of restaur draw a crowd not becaus of their cuisin but becaus of their star-stud clientel
828,-1.0,at trendi bang in the surri hill neighborhood of sydney a messag atop the menu announc that the place is a cfavourit of celebrities.d but that doe not mean diner are in for great people-watch at the risk of a lacklust meal . cthe line is meant to be tongue-in-cheek d said nichola gurney who open the restaur last januari with tapo singha it chef who is a bangladesh nativ
829,-1.0,csinc it not the sort of place where celebr flock we thought it wa funny.d lucki for these two noncelebr have flock for the real attract : the a-list dish put out by mr. singha that celebr the street food of hi youth
830,1.0,he alway add a twist as in hi favorit inspir by the spici omelet he ate as a child : a duck egg version with blue swimm
831,-1.0,by georg gene gustinesdec
832,-1.0,the -year copyright on hitler cmein kampfd expir on thursday in germani
833,0.0,and a comic book releas last month shed light on a legal battl over the book that occur in america in . the comic cthe book that hitler didnt want you to read d tell the stori of how alan cranston then a journalist and year later a california senat produc hi own version of hitler book onli to be su by hitler . ci wa awar of the effort of young alan cranston to warn the free world of the danger that hitler repres d said rafael medoff the director of the david s. wyman institut for holocaust studi in washington which produc the comic
834,0.0,cit seem to me that cranston stori could be an effect vehicl to convey the new controversi over mein kampf that would be start after dec. .d the cranston book is the first in a seri
835,-1.0,as presid obama move closer to use execut action to tighten regul on gun purchas the republican presidenti candid hope to succeed him are accus him of abus power and promis to revers such\xameasur if elect . mr. obama is meet with attorney gener loretta e. lynch thi week\xato discuss what moves\xah can take to curb gun violenc
836,-1.0,one possibl is focus on who could be consid a high-volum dealer for an execut action that could expand background check . but republican say he is overstep hi author . cthi presid want to act as if he a king as if he a dictat d gov
837,-1.0,chri christi of new jersey told fox news sunday
838,-1.0,cthi is go to be anoth illeg execut action which im sure will be reject by the court and when i becom presid will be stricken from execut action by execut action i will take.d jeb bush said that mr. obama wa recklessli use author
839,-1.0,by jonathan wolfejan
840,-1.0,it a tough choic : return to downton abbey or visit the unit states-mexico border in seth macfarlan new anim comedi cbordertown.d jerri seinfeld and presid obama take turn drive and presidenti candid vie for the oval offic seat on the sunday morn news show
841,-1.0,downton abbey p.m. on pb
842,-1.0,in the premier of the show sixth and final season downton abbey is threaten by extort and downsiz and chang is brew at the hospit
843,-1.0,the episod best moment wrote mike hale in hi review for the new york time ci the danc of attract and chagrin between carson and hugh the age and veri proper lovebirds.d the episod close cwith a coming-togeth that will delight the show die-hard fan and help carri the rest of us through the overli sentiment reunion unlik outburst kidnap and ye sudden deathsd of the final se
844,-1.0,by melissa eddyjan
845,-1.0,berlin hundr of polic offic remain on alert in munich on friday after a threat of a suicid bomb attack by the islam state led the author to evacu two train station on new year eve . the german author said friday that five to seven peopl might have been involv in the terrorist threat
846,-1.0,the two station in the citi center and in the pase district in the western part of munich have reopen as the author continu to investig . yet with littl to go on and no arrest nearli hour later offici in bavaria were defend their decis to close the two transit hub hour befor midnight and to flood the citi with heavili arm special equip offic as of friday morn includ reinforc from other part of the southern state . they said they had receiv a cveri concret tipd around : p.m. from intellig sourc in franc and the unit stat
847,-1.0,downton abbey by loui bayardjan
848,-1.0,thi recap contain spoiler for sunday episod of cdownton abbey.d cright d say the earl of grantham draw back the rein of hi steed
849,-1.0,cwere off.d and with that the final season of cdownton abbeyd come charg out of the gate . well mayb not charg abbot
850,-1.0,we must first clear the hurdl of the world longest-last murder investig . mr. green who kill thee ? dost thou know who kill thee ? took thi life and made us spend endless month wonder when the hell it would end ? it true my meter sprawl a bit at the finish but that noth to how cdownton abbeyd ha elong thi particular plotlin
851,-1.0,as the episod begin anna is still out on bail and mr. bate is still con tenterhook d and when bate ask cdo you ever think of a time when were told the whole mr
852,-1.0,jan. written by pete docter meg lefauv and josh cooley insid -year-old riley head joy sad disgust fear and anger take turn be in charg
853,0.0,on the girl first day at a new school joy ( voic by ami poehler ) ha found a job for sad ( phylli smith ) sad what are you do ? joy kneel down and begin draw a chalk circl around sadnesss feet . joy and there
854,1.0,perfect . as joy finish the circl joy thi is the circl of sad
855,-1.0,your job is to make sure that all the sad stay insid of it . sad so you want me to just stand here ? joy hey it not my place to tell you how to do your job
856,-1.0,just make sure that joy nudg sadnesss foot back over the line . joy all the sad stay in the circl . sad stand there . joy see ?
857,0.0,your a pro at thi !
858,1.0,isnt thi fun ? joy turn back to the consol
859,-1.0,sad no . joy atta girl . writ
860,-1.0,jan. new york an articl last sunday about the counterterror experi of gov
861,-1.0,chri christi a candid for the republican presidenti nomin misstat in some edit the surnam of the special agent in charg of the feder bureau of investig newark divis from to . he is lesli wiser jr. not walker . sport an articl in some edit last sunday about duke victori over indiana in the pinstrip bowl at yanke stadium misstat the year the duke footbal team last play in new york
862,-1.0,it wa not . art and leisur an articl last sunday about the way that artist are chang the narr about what differ truli separ mexico and the unit state refer incorrectli to the comic strip la cucaracha by lalo alcaraz who is also a lead writer on the new fox anim seri cbordertown.d the nation syndic strip which focus on latino and polit theme appear daili
863,1.0,im incred proud of the book i wrote
864,0.0,i hope it ha some of the thing i love when i read other peopl work
865,1.0,i want reader to find the stori funni and sad ; honest and relat
866,-1.0,my charact fall in and out of love they tri thing they never thought they would and thing they will never admit to
867,0.0,and some of these thing are dirti
868,-1.0,thi did not have to be a dirti book
869,-1.0,at sever point i could have fade to black like a s hollywood movi
870,-1.0,no thi didnt need to be a dirti book
871,-1.0,it just get to be . as i work to find an agent or publish i enter a lot of twitter contest
872,-1.0,you get charact includ the contest hashtag to pitch your opu
873,0.0,i got a text from my younger son . hi friend had told him ci think your mom twitter wa hacked.d he had to explain that i wa inde the author of those raci tweet
874,-1.0,my older son roommat were even more intrigu
875,-1.0,they follow me after they read my tweet and offer themselv
876,-1.0,by the associ pressjan
877,-1.0,pittsburgh sidney crosbi is look like himself again marc-andr fleuri is back from injuri and the pittsburgh penguin are gain momentum after a lacklust start . a resurg crosbi score two power-play goal fleuri return from a concuss and made save and the penguin beat the island - on saturday night . cit alway nice when the puck goe in d crosbi said
878,-1.0,ci think with the way were play were earn our bounc and earn our goal
879,0.0,hope there more to come.d crosbi score hi th and th goal of the season and ha point in hi last seven game
880,0.0,after score just six goal in hi first game crosbi ha five in hi last five contest . fleuri made hi first start sinc dec. . the penguin won just three of eight game without him . pittsburgh ha won four of six after drop it first four game under it new coach mike sul
881,-1.0,by vincent m. mallozzijan
882,-1.0,marianna koval and stephen paul burgay were marri dec. at their home in boston by matthew burgay the groom brother who receiv permiss from the commonwealth of massachusett . until dec. the bride wa a boston-bas consult to the new york citi depart of environment protect have formerli serv in new york as the depart senior advis to the commission
883,0.0,she also wa the presid of the brooklyn bridg park conserv from to . she graduat from princeton and receiv a law degre from fordham and a master of public administr from harvard . she is a daughter of patricia obrien of washington and john p. koval of chicago and a stepdaught of margaret power and of the late frank mankiewicz
884,-1.0,the bride father retir as a sociolog professor at depaul univers
885,-1.0,her mother who write under the name kate alcott is an author of histor fiction whose
886,-1.0,by the associ pressjan
887,-1.0,brook lopez size wa too much for boston smaller lineup . the -foot lopez score a season-high point and grab rebound lead the visit net to a - victori over the celtic on saturday . ci did my best to make the right play everi time realiz that and just tri to read the doubl team d said lopez who score of hi point in a crucial - run after boston began make a charg with a smaller trap lineup . net coach lionel hollin ad : cwe had guy open everywher
888,-1.0,it wa just a matter of be aggressive.d joe johnson had point thaddeu young score and had rebound and bojan bogdanov had point for the net who won for just the third time in game . isaiah thoma had point jae crowder and evan turner for boston
889,-1.0,the celtic lost a second straight game after a season-high four-gam win streak .
890,-1.0,by the associ pressjan
891,-1.0,as the new year begin the surpris devil have put themselv in playoff posit . john moor score a power-play goal minut second into overtim to give the devil a - victori at home on saturday night over the dalla star who lead the n.h.l
892,-1.0,in point . ride their first three-gam win streak sinc octob the devil have move into seventh place in the eastern confer
893,-1.0,they are point behind the third-plac ranger in the metropolitan divis and onli behind the second-plac island . it wa a gritti win for the devil who blew a two-goal lead in the third period and play without their lead scorer mike cammalleri who wa sidelin with an upper-bodi injuri . ci thought the devil play a heck of a game d star coach lindi ruff said
894,1.0,ci thought they skate well
895,0.0,their track and backcheck wa as good as ani team weve faced.d moor pull out a win that seem
896,-1.0,by the associ pressjan
897,-1.0,sunris fla. the florida panther keep set franchis record . roberto luongo stop shot for hi third shutout of the season as the florida panther beat the ranger - saturday night
898,-1.0,the victori wa the panther eighth straight a franchis record . brandon pirri vincent trocheck and logan shaw each score to help florida regain first place in the atlant divis
899,-1.0,the panther also set a franchis mark with their sixth consecut home win and end a seven-gam lose streak against the ranger beat them for the first time sinc april . luongo earn hi seventh straight win break hi franchis record for consecut win and tie lorn chabot and harri lumley for th place in n.h.l
900,-1.0,histori with career shutout . cim more worri about the stand list than career accomplish d luongo said
901,-1.0,cour goal is to be in the playoffs.d the panther ha
902,-1.0,by liam stackjan
903,-1.0,the moment that some cgame of thronesd fan have long fear may final be at hand . no winter ha not come
904,-1.0,but the next season of the hit hbo seri will be broadcast befor the public of the novel it is base on the author said saturday creat a minefield of potenti spoiler that may be hard for reader to escap . the author georg r.r
905,-1.0,martin said in a post on hi person blog that he had miss a dec. deadlin to finish the sixth book cthe wind of winter d in the best-sel fantasi seri . that calmost certainli meansd the sixth season of the show the most popular seri in hbo histori will have it premier current schedul for april befor the book is publish he wrote . cyour disappoint and your not alon d mr. martin wrote to hi fan in a long frank messag on hi livejourn page
906,-1.0,cmi editor and publish are disappoint
907,-1.0,by the associ pressjan
908,-1.0,iowa allow onli eight second-half basket forc turnov and ralli from a -point halftim deficit saturday win by - to hand no
909,-1.0,purdu it first home loss of the season . the hawkey ( - - big ten ) who were come off a victori over no
910,-1.0,michigan state on tuesday have won four straight . the boilermak ( - - ) built a - lead as they made of -point attempt in the first half
911,-1.0,they made onli of after the break . michigan st. minnesota bryn forb made three -pointer in the second half to help top-rank michigan state win at minnesota ( - - big ten ) and rebound from it loss at iowa
912,1.0,matt costello contribut point and rebound both career high for the spartan ( - - )
913,-1.0,forb finish with point . kansa baylor wayn selden score point and no
914,-1.0,kansa rout no
915,-1.0,baylor ( - ) in their big open
916,0.0,the host jayhawk
917,-1.0,by liam stackjan
918,-1.0,feder offici said sunday that no feder wildlif employe were in danger after a group of arm activist and militiamen protest the prosecut of two rancher took over a remot feder wildlif refug in the rural southeastern corner of oregon over the weekend . a build at the refug seiz on saturday afternoon by the group hous the offic of the malheur nation wildlif refug and is oper by the unit state fish and wildlif servic about mile southeast of burn in harney counti
919,-1.0,a repres of the fish and wildlif servic said the agenc wa monitor the situat
920,-1.0,cwhile the situat is ongo the main concern is employe safeti and we can confirm that no feder staff were in the build at the time of the initi incid d the press offic said . the occup began after a demonstr on saturday in support of dwight hammond and hi son steven hammond who were to re
921,-1.0,by gardin harrisjan
922,-1.0,honolulu with washington increasingli consum by the novemb elect presid obama will spend much of hi final year in offic travel the countri and the world . he alreadi ha two trip to asia two more to europ and anoth to latin america on hi calendar and a second to latin america will most like be ad accord to administr offici
923,-1.0,and befor the tire on air forc one cool from each of those trip the presid will jog up the stair of the plane for numer jaunt around the unit state to campaign and rais money for democrat candid as well as to host foreign leader outsid washington . more travel is someth almost everi modern presid ha sought to do in hi last year in offic said elain c. kamarck a presidenti scholar and a senior fellow at the brook institut . cthey have so much more latitud to accomplish thing in foreign affair at the end than they can
924,-1.0,by andrew jacobsjan
925,-1.0,creditadam dean for the new york time kashgar china famili sunder by a wave of detent
926,-1.0,mosqu bar from broadcast the call to prayer
927,-1.0,restrict on the movement of labor that have wreak havoc on local agricultur
928,-1.0,and a batteri of ever more intrus way to monitor the commun of citizen for possibl threat to public secur . a recent -day journey across the xinjiang region in the far west of china reveal a societi seeth with anger and trepid as the govern alarm by a slow-boil insurg that ha claim hundr of live ha introduc unpreced measur aim at shape the behavior and belief of china million uighur a turkic-speak muslim minor that consid thi region it homeland . drive these polici is the govern view that tougher secur and tighter restraint on the practic of islam are the best way to stem a wave of
929,-1.0,by ian johnsonjan
930,-1.0,beij thi past year ha been a time of up and down for judg jiang huil and hi -year quest for legal reform in china . judg jiang head a govern research institut that is spearhead an ambiti remak of china legal system
931,-1.0,with pride he point to potenti signific chang unveil over the past year that could lead to a fairer legal system instead of the politic structur that uphold the law in china today . but judg jiang also know that mani peopl see the past year as a period of retreat rather than advanc in china effort to establish the rule of law . in decemb for exampl one of china most promin human right lawyer wa tri for blog post critic govern polici while anoth nation known lawyer ha been held incommunicado sinc august for tri to defend church whose cross are be remov from their steepl . cyou ca
932,-1.0,sunday routin by alix straussjan
933,-1.0,aerin lauder is a granddaught of est\xe lauder who start her cosmet compani in with a mere four product
934,-1.0,ms. lauder spent year work for the famili busi befor introduc aerin her own beauti home and luxuri lifestyl label in
935,-1.0,cbeauti is my heritag but my passion is home so i love spend time there d ms. lauder said of her sunday
936,-1.0,she live on manhattan upper east side with her husband of year eric zinterhof an invest banker and their son jack who attend board school and will . easi to rise im a horribl sleeper
937,-1.0,i fall asleep but wake up at a.m. i use to get up and do thing which is a no-no
938,0.0,now i get a glass of water or tri some liquid melatonin
939,0.0,dure the week im up at : . on the weekend the dog wake me at or : . dogma if eric ha work a lot that week ill make t
940,-1.0,by the associ pressjan
941,-1.0,fort lauderdal fla. oklahoma quarterback baker mayfield wa in hi hotel room with some of hi oklahoma teammat when suddenli thing got seriou . the video game finish load . it wa time to play halo . che rush to the front of the bed d said lineback eric striker who wa among those hang out with mayfield dure some down time lead up to the orang bowl
942,0.0,cwe were like bake what go on ? he like the game about to start ! bake is real intense.d mayfield is hardli alon in hi love for video game . mani colleg athlet spend their spare time with video game play everyth from halo the science-fict game prefer by mayfield to the alway popular madden nfl . on the surfac it is just today version of athlet sit around play card an obviou conduit for bond with teammat and satisfi that
